source,destination,throughput_mbps,avg_latency_ms,packet_loss_percent
h1,h2,47.6,10.237,0.0
h1,h3,34.5,10.25,0.0
h1,h4,47.5,10.454,0.0
h1,h5,47.5,10.281,0.0
h2,h1,47.5,10.708,0.0
h2,h3,18.9,20.77,0.0
h2,h4,18.8,40.668,0.0
h2,h5,47.2,20.36,0.0
h3,h1,47.6,10.281,0.0
h3,h2,19.0,20.331,0.0
h3,h4,19.0,20.323,0.0
h3,h5,47.3,20.307,0.0
h4,h1,47.6,10.277,0.0
h4,h2,18.8,40.504,0.0
h4,h3,19.0,20.272,0.0
h4,h5,47.2,20.29,0.0
h5,h1,47.5,10.185,0.0
h5,h2,33.2,20.392,0.0
h5,h3,47.2,20.45,0.0
h5,h4,47.3,20.412,0.0
